,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
172,Murmuring Brook,Murmuring Brook,همهمة النهر,汩汩的溪水,汩汩的溪水,Mompelende Beek,Murmuring Brook,Brook Nurisee,Murmurer Le Ruisseau,Murmuring Brook,बड़बड़ाते हुए ब्रुक,Gumam Brook,Mormorando Brook,Murmuring Brook,マーマーリング・ブロック,Murmuring Brook,Murmuring Brook,MrucząCy Brook,Murmuring Brook,Murmuring Brook,Шумный ручей,Murmuring Brook,Murmuring Brook,บ่นบ่น,Murmuring Brook,Brook Thì ThầM,
173,La Candeur Op.100 No.1,La Candeur Op.100 No.1,الصراحة No.1 Op.100,天真淳朴,天真淳樸,La Candeur Op.100 Nr. 1,La Candeur Op.100 No.1,La Candeur Op.100 No.1,La Candeur Op.100 N ° 1,La Candeur Op.100 No.1,ला कैंडियूर ओपी .100 नंबर 1,La Candeur Op.100 No.1,La Candeur Op.100 N. 1,La Candeur Op. 100 No. 1,すなおな心 Op.100-1,La Candeur Op.100 No.1,La Candeur Op.100 No.1,La Candeur Op.100 Nr 1,La Candeur Op.100 No.1,La Candeur Op.100 No.1,Кандор Op.100 №1,La Candeur Op.100 No.1,La Canteur Op.100 No.1,la candeur op.100 No.1,La Candeur Op.100 No.1,La Candeur Op.100 No.1,
174,Sunflower Slow Drag,Sunflower Slow Drag,سحب بطيء لعباد الشمس,太阳花轻轻摇曳,太陽花輕輕搖曳,Zonnebloem Langzaam Slepen,Sunflower Slow Drag,Auringonkukka Hitaasti,Tournesol Traînée Lente,Sunflower Slow Drag,सूरजमुखी धीमी गति से खींचें,Sunflower Drag Lambat,Girasole Lento Resistenza,Sunflower Slow Drag,サンフラワー・スロウ・ドラッグ,Sunflower Slow Drag,Solsikke Sakte Dra,SłOnecznik Powolny,Arrasto Lento Do Girassol,Arrasto Lento Do Girassol,Медленный рэг подсолнуха,Girasol Lento Arrastre,Solros LåNgsam Drag,ดอกทานตะวันช้าลาก,AyçIçEğI Yavaş SüRüKleme,HướNg DươNg KéO ChậM,
175,Gavotte from Mignon,Gavotte from Mignon,الرقصة الفرنسية من مغنون,迷娘-加沃特舞曲,迷孃 - 加沃特舞曲,Gavotte Van Mignon,Gavotte From Mignon,Gavotte Mignonista,Gavotte De Mignon,Gavotte from Mignon,Mignon से Gavotte,Gavotte Dari Mignon,Gavotte Da Mignon,Gavotte from Mignon,ミニヨンのガボット,Gavotte Dari Mignon,Gavotte Fra Mignon,Gavotte Z Mignon,Gavotte De Mignon,Gavotte De Mignon,Гавот из оперы «Mignon»,Gavotte de Mignon,Gavotte FråN Mignon,Gavotte จาก Mignon,Mignon'Dan Gavotte,Gavotte Từ Mignon,
176,A Concert Waltz,A Concert Waltz,فالس الحفلة,音乐会华尔兹,音樂會華爾茲,Een Concert Wals,A Concert Waltz,Konserttivalssi,Une Valse De Concert,A Concert Waltz,एक कॉन्सर्ट वाल्ट्ज,Sebuah Waltz Konser,Un Waltz Da Concerto,A Concert Waltz,コンサート・ワルツ,Konsert Waltz,En Konsertvalz,Koncert Waltz,Uma Valsa De Concerto,Uma Valsa De Concerto,Последний вальс,Un Concierto de Vals,En Konsertvals,คอนเสิร์ตวอลซ์,Bir Konser Vals,MộT BuổI HòA NhạC Waltz,
177,The Song of the Robin,The Song of the Robin,أغنية روبن,知更鸟之歌,知更鳥之歌,Het Lied Van De Robin,The Song Of The Robin,Robinin Kappale,La Chanson Du Robin,The Song of the Robin,रॉबिन का गीत,Lagu Robin,La Canzone Del Robin,The Song of the Robin,ロビンの歌,Lagu Robin,Sangen Til Robin,Pieśń Robina,A MúSica Do Robin,A MúSica Do Robin,Песня малиновки,La Canción del Robin,Robins SåNg,เพลงของโรบิน,Robin ŞArkıSı,BàI HáT CủA Robin,
178,Entr'acte-Gavotte Op.13,Entr'acte-Gavotte Op.13,فاصل-الرقصة الفرنسية Op.13,加沃特间奏曲,加沃特間奏曲,Entr'Acte-Gavotte Op.13,Entr'Acte-Gavotte Op.13,Entr'Acte-Gavotte Op.13,Entr'Actte-Gavotte Op.13,Entr'Acte-Gavotte Op.13,Entr'acte-gavotte op.13,Entr'Acte-Gavotte Op.13,Entr'acte-gavotte Op.13,Entr'acte-Gavotte Op. 13,エルネスト・ジエ,Entr'Acte-Gavotte Op.13,Entr'Acte-Gavotte Op.13,Entr'Acte-Gavotte Op.13,Entr'Acte-Gavotte Op.13,Entr'Acte-Gavotte Op.13,Антракт-Гавот Op.13,Entr'acte-gavotte Op.13,Entr'Acte-Gavotte Op.13,entr'acte-gavotte op.13,Entr'Acte-Gavotte Op.13,Entr'Acte-Gavotte Op.13,
179,The Easy Winners,The Easy Winners,الفائزون بسهولة,轻松的胜利者,輕鬆的勝利者,De Gemakkelijke Winnaars,The Easy Winners,Helppo Voittajat,Les Gagnants Faciles,The Easy Winners,आसान विजेता,Pemenang Yang Mudah,I Facili Vincitori,The Easy Winners,イージー･ウィナーズ,Pemenang Mudah,De Enkle Vinnerne,ŁAtwy ZwycięZcy,Os Vencedores FáCeis,Os Vencedores FáCeis,Легкие победители,Los Ganadores Fáciles,De Enkla Vinnarna,ผู้ชนะง่าย,Kolay Kazananlar,NhữNg NgườI ChiếN ThắNg Dễ DàNg,
180,Sylvia-Pizzicato,Sylvia-Pizzicato,طريقة عزف الكمان من سيلفيا,西尔维亚-拨奏,西爾維亞-撥奏,Sylvia-Pizzicato,Sylvia-Pizzicato,Sylvia-Pizzicato,Sylvia-Pizzicato,Sylvia-Pizzicato,सिल्विया-पिज़िकेटो,Sylvia-Pizzicato,Sylvia-pizzicato,Sylvia-Pizzicato,シルヴィア - ピチカート,Sylvia-Pizzicato,Sylvia-Pizzicato,Sylvia-Pizzicato,Sylvia-Pizzicato,Sylvia-Pizzicato,Пиццикато из балета «Сильвия»,Sylvia-pizzicato,Sylvia-Pizzicato,Sylvia-pizzicato,Sylvia-Pizzicato,Sylvia-Pizzicato,
181,Gypsies Op.138 No.19,Gypsies Op.138 No.19,No.19 Op.138 الغجر,吉普赛人 Op.138 No.19,吉普賽人 Op.138 No.19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,Tpsies Op.138 No.19,Gypsies Op.138 No.19,जिप्सियों op.138 No.19,Gipsi Op.138 No.19,Zingari Op.138 N. 19,Gypsies Op. 138 No. 19,ヘラー ジプシー Op.138-19,Gypsies Op.138 No.19,Gypsier Op.138 No.19,Cyganie Op.138 Nr 19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,Цыгане оп.138 ном. 19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,Gypsies Op.138 No.19,ÇIngeneler Op.138 No.19,Gypsies Op.138 No.19,
182,A Real Slow Drag,A Real Slow Drag,السحب الحقيقي البطيء,慢步舞,慢步舞,Een Echt Langzame Weerstand,A Real Slow Drag,Todellinen Hidas VetäMinen,Une Vraie Traînée Lente,A Real Slow Drag,एक वास्तविक धीमी गति से ड्रैग,Hambatan Lambat Yang Nyata,Una Vera Resistenza Lenta,A Real Slow Drag,リアル・スロウ・ドラッグ,Seret Perlahan Sebenar,En Skikkelig Treg Dra,Prawdziwy Powolny CiąG,Uma Verdadeira Arrastada Lenta,Uma Verdadeira Arrastada Lenta,Настоящий медленный рэг,Un Arrastre Realmente Lento,En Riktig LåNgsam Drag,การลากช้าจริง,GerçEk Bir Yavaş SüRüKleme,MộT LựC KéO ChậM ThựC Sự,
183,Cello Suite No.1 in G,Cello Suite No.1 in G,Cello Suite No.1 In G,无伴奏大提琴组曲 No.1,無伴奏大提琴組曲 No.1,Cello Suite Nr. 1 In G,Cello Suite No.1 In G,Sello -Sviitti Nro 1 G: Ssä,Suite De Violoncelle N ° 1 En G,Cello Suite No.1 in G,जी में सेलो सुइट नंबर 1,Cello Suite No.1 Di G,Violoncello N. 1 in G,Cello Suite No. 1 in G,チェロ組曲第1番 ト長調,Cello Suite No.1 Dalam G,Cello Suite No.1 I G,Suite Wiolonczeli Nr 1 W G,SuíTe De Violoncelo Nº 1 Em G,SuíTe De Violoncelo Nº 1 Em G,Сюит для виолончели №1,Suite de Violonchelo N. ° 1 en G,Cello Suite No.1 I G,เชลโลชุดหมายเลข 1 ใน G,G'De çEllo SüIt No.1,Cello Suite Số 1 Trong G,
184,Sonata in E Major K.20,Sonata in E Major K.20,سوناتا في سلم مي الكبير K.20,E大调奏鸣曲 K.20,E大調奏鳴曲 K.20,Sonate In E Major K.20,Sonata In E Major K.20,Sonaatti E -Majuri K.20,Sonata Dans E Major K.20,Sonata in E Major K.20,सोनाटा ई मेजर K.20 में,Sonata Di E Major K.20,Sonata in E Maggiore K.20,Sonata in E Major K. 20,ソナタ ホ長調 K.20,Sonata Di E Major K.20,Sonata I E Major K.20,Sonata W E Major K.20,Sonata Em E Major K.20,Sonata Em E Major K.20,Соната ми мадор К20,Sonata en E Major K.20,Sonata I E Major K.20,Sonata ใน E Major K.20,E Major K.20'De Sonata,Sonata Trong E Major K.20,
185,Coppelia-Waltz,Coppelia-Waltz,Coppelia الفالس,葛蓓莉亚华尔兹,葛蓓莉亞華爾茲,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,कोपेलिया-वाल्ट्ज़,Coppelia-Waltz,Coppelia-waltz,Coppelia-Waltz,コッペリア - ワルツ,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,"""Коппелия"" - вальс",Coppelia-waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,Coppelia-Waltz,
186,Two Part Invention No.8,Two Part Invention No.8,الجزء الثاني لاختراعات No.8,二部创意 No.8,二部創意 No.8,Tweedelende Uitvinding Nr. 8,Two Part Invention No.8,Kahden Keksintö Nro 8,Invention En Deux Parties N ° 8,Two Part Invention No.8,दो भाग आविष्कार No.8,Dua Bagian Penemuan No.8,Invenzione in Due Parti N. 8,Two Part Invention No. 8,2声のインベンション 第8番,Dua Bahagian Ciptaan No.8,To Del Oppfinnelse Nr.8,DwupięTrowy Wynalazek Nr 8,Duas Partes Da InvençãO Nº 8,Duas Partes Da InvençãO Nº 8,Двухчастное изобретение №8,Invención de Dos Partes No.8,Två Delar Uppfinningen Nr 8,สองส่วนประดิษฐ์หมายเลข 8,İKi BöLüM Buluş No.8,Hai PhầN PháT Minh Số 8,
187,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,الفالس الصغير No.2 Op.10,小圆舞曲 Op.10 No.2,小圓舞曲 Op.10 No.2,Petite Valse Op.10 Nr. 2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,पेटिट वैल ओपी .10 नंबर 2,Petite Valse Op.10 No.2,Petite Valse Op.10 N. 2,Petite Valse Op. 10 No. 2,小さなワルツ Op.10-2,Petite Valse Op.10 No.2,Petite Valse Op.10 Nr.2,Petite Valse Op.10 Nr 2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Миниаютрный вальс оп.10 ном.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,Petite Valse Op.10 No.2,
188,Canzonetta,Canzonetta,Canzonetta,小坎左纳,小坎左納,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,कैनज़ोनेटा,Canzonetta,Canzonetta,Canzonetta,カンツォーネ,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Canzonetta,Канцонетта,Cánzonetta,Canzonetta,เรือเคนซอนเน็ต,Canzonetta,Canzonetta,
189,Hungarian Dance No.7,Hungarian Dance No.7,الرقصة الهنغارية No.7,匈牙利舞曲 No.7,匈牙利舞曲 No.7,Hongaarse Dans Nr. 7,Hungarian Dance No.7,Unkarin Tanssi Nro 7,Dance Hongroise N ° 7,Hungarian Dance No.7,हंगेरियन डांस नंबर 7,Tarian Hongaria No.7,Danza Ungherese N. 7,Hungarian Dance No. 7,ハンガリー舞曲 第7番,Tarian Hungary No.7,Ungarsk Dans Nr. 7,WęGierski Taniec Nr 7,DançA HúNgara No.7,DançA HúNgara No.7,Венгерский танец № 7,Danza Húngara No.7,Ungerska Dans Nr.7,การเต้นรำฮังการีหมายเลข 7,Macar Dansı No.7,Vũ đIệU Hungary Số 7,
190,Thine Alone Op.54,Thine Alone Op.54,Op.54 ملكك وحدك,独自一人,獨自一人,U Alleen Op. 54,Thine Alone Op.54,PelkäStääN Op.54,Toi Seul Op.54,Thine Alone Op.54,अकेले op.54,Mu Sendiri Op.54,Il Tuo Da Solo Op.54,Thine Alone Op. 54,ザイン・アローン Op.54,Anda Sahaja Op.54,Din Alene Op.54,Tylko Twoje Op. 54,Tua Sozinha Op.54,Tua Sozinha Op.54,Только твой оп.54,Tuyo Solo Op.54,Din Ensamma Op.54,เจ้าคนเดียว Op.54,YalnıZ Op.54,MộT MìNh Op.54,
191,Something Doing,Something Doing,شيء ما يفعل,百无聊赖,百無聊賴,Iets Doet,Something Doing,Jotain TekemäSsä,Quelque Chose Qui Fait,Something Doing,कुछ कर रहा है,Sesuatu Dilakukan,Qualcosa Che Fa,Something Doing,サムシング・ドゥイング,Sesuatu Yang Dilakukan,Noe GjøR,Coś Robi,Algo Fazendo,Algo Fazendo,Что-то делать,Algo Que Hace,NåGot GöR,มีอะไรทำ,Bir şEy YapıYor,MộT CáI Gì đó đAng LàM,
192,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,السوناتينا Mvt.3 No.1 Op.20,小奏鸣曲 Op.20 No.1,小奏鳴曲 Op.20 No.1,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 N ° 1 Mvt.3,Sonatina Op.20 Nr.1 Mvt.3,सोनटिना OP.20 No.1 MVT.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 N. 1 Mvt.3,Sonatina Op. 20 No. 1 Mvt. 3,ソナチネ Op.20-1 第3楽章,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 Nr 1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Сонатина Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 MVT.3,Sonatina Op.20 No.1 Mvt.3,Sonatina Op.20 No.1 Mvt.3,
193,Suite BWV 1012-3.Courante,Suite BWV 1012-3.Courante,Suite Bwv 1012-3.courante,无伴奏大提琴组曲-库朗特,無伴奏大提琴組曲-庫朗特,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,सुइट BWV 1012-3.Courante,Suite Bwv 1012-3.Courante,Suite BWV 1012-3.courante,Suite BWV 1012-3. Courante,組曲 BWV 1012-3. クーラント,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,"Сюита BWV 1012-3, Куранта",Suite Bwv 1012-3.courante,Svit Bwv 1012-3.Courante,Suite BWV 1012-3.Courante,Suite Bwv 1012-3.Courante,Suite Bwv 1012-3.Courante,
194,The Parade Of The Tin Soldiers,The Parade of the Tin Soldiers,موكب الجنود الألعاب,玩具兵进行曲,玩具兵進行曲,De Parade Van De Tinnen Soldaten,The Parade Of The Tin Soldiers,Tinasotilaiden Paraati,Le Défilé Des Soldats De L'Étain,The Parade of the Tin Soldiers,टिन सैनिकों की परेड,Parade Tentara Timah,La Sfilata Dei Soldati Di Stagno,The Parade of the Tin Soldiers,おもちゃの兵隊の行進曲,Perarakan Askar Timah,Paraden Til Tinnsoldatene,Parada Blaszanych żOłNierzy,O Desfile Dos Soldados De Lata,O Desfile Dos Soldados De Lata,Парад оловянных солдатиков,El Desfile de los Soldados de Estaño,Paraden Av Tennsoldaterna,ขบวนพาเหรดของทหารดีบุก,Teneke Askerlerin GeçIt TöReni,CuộC DiễU HàNh CủA NhữNg NgườI LíNh ThiếC,
195,Lieder Op.52 No.7,Lieder Op.52 No.7,No.7 Op.52 أغاني,旅行者之歌,旅行者之歌,Lieder Op.52 Nr. 7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 N ° 7,Lieder Op.52 Nr.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op. 52 No. 7,無言歌集 OP.52-7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 Nr 7,Lieder Op.52 No.7,Lieder Op.52 No.7,Песни Op.52 №7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 No.7,Lieder Op.52 Số 7,
196,Entry Of The Gladiators,Entry of the Gladiators,دخول المصارعين,角斗士入场进行曲,角斗士入場進行曲,Invoer Van De Gladiatoren,Entry Of The Gladiators,Gladiaattorit,Entrée Des Gladiateurs,Entry of the Gladiators,ग्लेडिएटर्स का प्रवेश,Masuknya Gladiator,Ingresso Dei Gladiatori,Entry of the Gladiators,剣闘士の入場,Kemasukan Gladiator,Inngang Av Gladiatorene,WejśCie GladiatoróW,Entrada Dos Gladiadores,Entrada Dos Gladiadores,Вступление гладиаторов,Entrada de los Gladiadores,Gladiatorernas InträDe,รายการของ Gladiators,GladyatöRlerin GirişI,Sự Gia NhậP CủA CáC đấU Sĩ,
197,Swipesy Cakewalk,Swipesy Cakewalk,رقصة الكعكة,淡啤酒步态舞,淡啤酒步態舞,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Gâteau De Glissement,Swipesy Cakewalk,स्वाइपसी केकवॉक,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,スワイプシー（ケーク・ウォーク）,Swipesy Cakewalk,Swipesy Cakewalk,Swepesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Свипси кейкуок,Camiseta de Traje,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,Swipesy Cakewalk,
198,Polka Op.39 No.14,Polka Op.39 No.14,البولكا No.14 Op.39,波尔卡舞曲 Op.39 No.14,波爾卡舞曲 Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 N ° 14,Polka Op.39 Nr.14,पोल्का Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op. 39 No. 14,ポルカ O/39-14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 Nr 14,Polka Op.39 No.14,Polka Op.39 No.14,Полька Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 No.14,Polka Op.39 Số 14,
199,Rage In Joyful C,Rage in Joyful C,الراج السعيد في سلم دو الكبير,C大调欢乐拉格,C大調歡樂拉格,Woede In Vreugdevolle C,Rage In Joyful C,Raivo Ilossa C,Rage dans Joyeux C,Rage in Joyful C,हर्षित सी में क्रोध सी,Kemarahan Dalam Joyful C,Rabbia in Gioioso C,즐거운 C에 분노,レイジ・イン・ジョイフル C,Kemarahan Dalam Kegembiraan C,Raseri I Gledelig C,WśCiekłOść W Radosnym C,Raiva De Alegria C,Raiva De Alegria C,Ярость в радости C,Rage en Joyful C,Rage I Glad C,ความโกรธในความสุข c,NeşEli C'De öFke,CơN ThịNh Nộ Trong NiềM Vui C,
200,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,السوناتينا Mvt.3 No.2 Op.36,小奏鸣曲Op.36-2,小奏鳴曲Op.36-2,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,सोनटिना OP.36-2 MVT.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op. 36-2 Mvt. 3,ソナチネ Op.36-2 第3楽章,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Сонатина Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina op.36-2 mvt.3,Sonatina Op.36-2 Mvt.3,Sonatina Op.36-2 Mvt.3,
201,Impromptu Op.142 No.3,Impromptu Op.142 No.3,No.3 Op.142 ارتجال,即兴曲 Op.142 No.3,即興曲 Op.142 No.3,Spontane Op.142 Nr. 3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 N ° 3,Impromptu Op.142 Nr.3,Impromptu Op.142 No.3,Dadakan Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op. 142 No. 3,即興曲 Op.142-3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,Impromptu Op.142 Nr 3,Impromptu Op.142 No.3,Impromptu Op.142 No.3,Экспромт Op.142 No.3,Impromtu Op.142 No.3,Impromptu Op.142 No.3,อย่างกะทันหัน OP.142 ฉบับที่ 3,ÇElişKili Op.142 No.3,Impromptu Op.142 Số 3,
202,Italian Song Op.39 No.15,Italian Song Op.39 No.15,No.15 Op.39 أغنية إيطالية,意大利之歌,意大利之歌,Italiaans Nummer Op.39 No.15,Italian Song Op.39 No.15,Italialainen Laulu Op.39 No.15,Song Italien Op.39 N ° 15,Italian Song Op.39 Nr.15,इतालवी गीत op.39 No.15,Lagu Italia Op.39 No.15,Canzone Italiana Op.39 N. 15,Italian Song Op. 39 No. 15,イタリアの歌 Op.39-15,Lagu Itali Op.39 No.15,Italiensk Sang Op.39 Nr.15,WłOska Piosenka Op.39 Nr 15,MúSica Italiana Op.39 No.15,MúSica Italiana Op.39 No.15,Итальянская песня Op.39 No.15,Canción Italiana Op.39 No.15,Italiensk SåNg Op.39 No.15,เพลงอิตาลี Op.39 No.15,İTalyan ŞArkıSı Op.39 No.15,BàI HáT Ý Op.39 No.15,
203,Cabaletta Op.83,Cabaletta Op.83,Op.83 كاباليتا,卡巴莱塔,卡巴萊塔,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,CABALETTA OP.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op. 83,カバレッタ Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta Op.83,Кабалета Op.83,Cabaletta Op.83,Cabaletta Op.83,Cabaletta op.83,Cabaletta Op.83,Cabaletta Op.83,
204,Etude Op.25 No.9,Etude Op.25 No.9,No.9 Op.25 القطعة الموسيقية,练习曲 Op.25 No.9,練習曲 Op.25 No.9,Etude Op.25 Nr. 9,Etude Op.25 No.9,Etude Op.25 No.9,Etude Op.25 N ° 9,Etude Op.25 Nr.9,Etude op.25 No.9,Etude Op.25 No.9,Etude Op.25 N. 9,Etude Op. 25 No. 9,練習曲 Op.25-9,Etude Op.25 No.9,Etude Op.25 Nr.9,Etude Op.25 Nr 9,Etude Op.25 No.9,Etude Op.25 No.9,Этюд Op.25 No.9,Etude Op.25 No.9,Etude Op.25 No.9,Etude op.25 No.9,Erude Op.25 No.9,Etude Op.25 No.9,
